INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/ResNet101.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/ResNet101.tflite
INFO: The input model file size (MB): 178.055
INFO: Initialized session in 437.167ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=2 first=497252 curr=498903 min=497252 max=498903 avg=498078 std=825 p5=497252 median=498903 p95=498903

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=493102 curr=493819 min=493102 max=496471 avg=494777 std=1047 p5=493102 median=494426 p95=496471

INFO: Inference timings in us: Init: 437167, First inference: 497252, Warmup (avg): 498078, Inference (avg): 494777
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=417.855 overall=419.23
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	  372.285	  372.285	 85.462%	 85.462%	342528.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   63.330	   63.330	 14.538%	100.000%	 75372.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	  372.285	  372.285	 85.462%	 85.462%	342528.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	   63.330	   63.330	 14.538%	100.000%	 75372.000	        1	AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
	                             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	                 ModifyGraphWithDelegate	        1	   372.285	    85.462%	    85.462%	342528.000	        1
	                         AllocateTensors	        1	    63.330	    14.538%	   100.000%	 75372.000	        1

Timings (microseconds): count=1 curr=435615
Memory (bytes): count=0
2 nodes observed



INFO: Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           Convolution (NHWC, F32) IGEMM	   10.525	   10.517	  2.126%	  2.126%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:0
	                  Constant Pad (ND, X32)	    2.126	    2.113	  0.427%	  2.554%	     0.000	        1	Delegate/Constant Pad (ND, X32):1
	                 Max Pooling (NHWC, F32)	    0.901	    0.901	  0.182%	  2.736%	     0.000	        1	Delegate/Max Pooling (NHWC, F32):2
	          Fully Connected (NC, F32) GEMM	    3.178	    3.187	  0.644%	  3.380%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:3
	          Fully Connected (NC, F32) GEMM	    0.819	    0.834	  0.169%	  3.549%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:4
	           Convolution (NHWC, F32) IGEMM	    6.481	    6.478	  1.310%	  4.858%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:5
	          Fully Connected (NC, F32) GEMM	    3.306	    3.302	  0.668%	  5.526%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:6
	                 Binary Elementwise (ND)	    2.676	    2.791	  0.564%	  6.090%	     0.000	        1	Delegate/Binary Elementwise (ND):7
	                  Unary Elementwise (NC)	    0.595	    0.610	  0.123%	  6.213%	     0.000	        1	Delegate/Unary Elementwise (NC):8
	          Fully Connected (NC, F32) GEMM	    3.348	    3.320	  0.671%	  6.885%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:9
	           Convolution (NHWC, F32) IGEMM	    6.423	    6.409	  1.296%	  8.180%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:10
	          Fully Connected (NC, F32) GEMM	    3.358	    3.341	  0.676%	  8.856%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:11
	                 Binary Elementwise (ND)	    2.784	    2.805	  0.567%	  9.423%	     0.000	        1	Delegate/Binary Elementwise (ND):12
	                  Unary Elementwise (NC)	    0.661	    0.696	  0.141%	  9.564%	     0.000	        1	Delegate/Unary Elementwise (NC):13
	          Fully Connected (NC, F32) GEMM	    3.345	    3.350	  0.677%	 10.241%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:14
	           Convolution (NHWC, F32) IGEMM	    6.423	    6.435	  1.301%	 11.542%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:15
	          Fully Connected (NC, F32) GEMM	    3.337	    3.403	  0.688%	 12.230%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:16
	                 Binary Elementwise (ND)	    2.945	    3.479	  0.703%	 12.934%	     0.000	        1	Delegate/Binary Elementwise (ND):17
	                  Unary Elementwise (NC)	    0.684	    0.709	  0.143%	 13.077%	     0.000	        1	Delegate/Unary Elementwise (NC):18
	           Convolution (NHWC, F32) IGEMM	    5.917	    5.925	  1.198%	 14.275%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:19
	           Convolution (NHWC, F32) IGEMM	    1.577	    1.580	  0.319%	 14.594%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:20
	           Convolution (NHWC, F32) IGEMM	    6.492	    6.478	  1.310%	 15.904%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:21
	          Fully Connected (NC, F32) GEMM	    2.918	    2.927	  0.592%	 16.496%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:22
	                 Binary Elementwise (ND)	    1.469	    1.450	  0.293%	 16.789%	     0.000	        1	Delegate/Binary Elementwise (ND):23
	                  Unary Elementwise (NC)	    0.307	    0.270	  0.055%	 16.843%	     0.000	        1	Delegate/Unary Elementwise (NC):24
	          Fully Connected (NC, F32) GEMM	    3.037	    3.033	  0.613%	 17.456%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:25
	           Convolution (NHWC, F32) IGEMM	    6.499	    6.596	  1.334%	 18.790%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:26
	          Fully Connected (NC, F32) GEMM	    2.941	    2.935	  0.593%	 19.383%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:27
	                 Binary Elementwise (ND)	    1.156	    1.172	  0.237%	 19.620%	     0.000	        1	Delegate/Binary Elementwise (ND):28
	                  Unary Elementwise (NC)	    0.241	    0.253	  0.051%	 19.671%	     0.000	        1	Delegate/Unary Elementwise (NC):29
	          Fully Connected (NC, F32) GEMM	    3.082	    3.069	  0.621%	 20.292%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:30
	           Convolution (NHWC, F32) IGEMM	    6.643	    6.656	  1.346%	 21.638%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:31
	          Fully Connected (NC, F32) GEMM	    2.915	    2.927	  0.592%	 22.229%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:32
